FIPSST,State FIPS Code
STOMACH,Difficulty Stomach Past 12 Months
PHYSICALPAIN,Difficulty Physical Pain Past 12 Months
HANDS,Difficulty Hands Past 12 Months
COORDINATION,Difficulty Coordination Past 12 Months
TOOTHACHES,Difficulty Toothaches Past 12 Months
GUMBLEED,Difficulty Bleeding Gums Past 12 Months
CAVITIES,Difficulty Cavities Past 12 Months
MEMORYCOND,"Serious Difficulty Concentrating, Remembering, or Making Decisions"
WALKSTAIRS,Serious Difficulty Walking or Climbing Stairs
DRESSING,Difficulty Dressing or Bathing
ERRANDALONE,Difficulty Doing Errands Alone
K2Q43B,Deafness
BLINDNESS,Blindness
ALLERGIES,Allergies
ALLERGIES_CURR,Allergies Currently
ARTHRITIS,Arthritis
ARTHRITIS_CURR,Arthritis Currently
K2Q40A,Asthma
K2Q40B,Asthma Currently
K2Q61A,Cerebral Palsy
K2Q61B,Cerebral Palsy Currently
K2Q41A,Diabetes
K2Q41B,Diabetes Currently
K2Q42A,Epilepsy
K2Q42B,Epilepsy Currently
HEART,Heart Condition
HEART_BORN,Heart Born
HEART_CURR,Heart Condition Currently
HEADACHE,Headaches
HEADACHE_CURR,Headaches Currently
K2Q38A,Tourette Syndrome
K2Q38B,Tourette Syndrome Currently
K2Q33A,Anxiety
K2Q33B,Anxiety Currently
K2Q32A,Depression
K2Q32B,Depression Currently
DOWNSYN,Down Syndrome
BLOOD,Blood Disorder
SICKLECELL,Blood Disorder Sickle Cell
THALASSEMIA,Blood Disorder Thalassemia
HEMOPHILIA,Blood Disorder Hemophilia
BLOOD_OTHER,Blood Disorder Other (includes Hemophilia)
BLOOD_SCREEN,Blood Disorder Newborn Screening
CYSTFIB,Cystic Fibrosis
CYSTFIB_SCREEN,Cystic Fibrosis Newborn Screening
GENETIC,Genetic Condition
GENETIC_SCREEN,Genetic Condition Newborn Screening
K2Q34A,Behavior Problems
K2Q34B,Behavior Problems Currently
K2Q36A,Developmental Delay
K2Q36B,Developmental Delay Currently
K2Q60A,Intellectual Disability
K2Q60B,Intellectual Disability Currently
K2Q37A,Speech Disorder
K2Q37B,Speech Disorder Currently
K2Q30A,Learning Disability
K2Q30B,Learning Disability Currently
K2Q35A,Autism ASD
K2Q35B,Autism ASD Currently
AUTISMMED,Autism ASD - Medication Currently
AUTISMTREAT,Autism ASD - Behavioral Treatment
K2Q31A,ADD/ADHD
K2Q31B,ADD/ADHD Currently
K2Q31D,ADD/ADHD - Medication Currently
ADDTREAT,ADD/ADHD - Behavioral Treatment
CONCUSSION,Concussion/Brain Injury
SEEKCARE,Concussion/Brain Injury - Seek Care
CONFIRMINJURY,Concussion/Brain Injury - Confirmed Injury
K2Q05,Born 3 or More Weeks Before Due Date
K6Q40,Ever Breastfed
S4Q01,Doctor Visit
DOCPRIVATE,Child Spoke with Doctor Privately
OVERWEIGHT,Doctor Identified as Overweight
K6Q10,"Asked about Learning, Development, Behavior Concerns"
K6Q12,Questionnaire - Development Concerns
K4Q01,Place Usually Goes Sick
USUALGO,Place Usually Goes for Preventive Care
USUALSICK,Place Usually Goes for Sick Same As Preventive
VISIONSCREENOTHER,Vision Screening from Other Provider
VISIONEXAMREC,Vision Test Recommended
EYEDOCTOR,Visition Tested by Eye Doctor
K4Q23,Emotions Concentration Behavior Medication
ALTHEALTH,Alternative Health Care
K4Q27,Needed Health Care Not Received
NOTELIG,Needed Health Care Not Received Due to - Not Eligible
AVAILABLE,Needed Health Care Not Received Due to - Not Available
APPOINTMENT,Needed Health Care Not Received Due to - Getting Appointment
TRANSPORTCC,Needed Health Care Not Received Due to - Getting Transportation
NOTOPEN,Needed Health Care Not Received Due to - Office Not Open
ISSUECOST,Needed Health Care Not Received Due to - Cost
HOSPITALSTAY,Admitted to Hospital
K6Q15,Special Education Plan
SESCURRSVC,Special Education Plan - Currently
K4Q36,Received Special Services
K4Q38,Received Special Services - Currently
K5Q10,Need a Referral
DECISIONS,Health Care Decisions Needed
K5Q21,Arrange Or Coordinate Care Extra Help
TREATCHILD,Doctors Treat Only Children
TREATADULT,Talked About Child Seeing Doctors Who Treat Adults
MEDHISTORY,Receive Summary of Medical History
WRITEPLAN,Doctor Worked with You and Child To Create Written Plan
RECEIVECOPY,Have Access to Plan of Care
HEALTHKNOW,How Child Will Be Insured as an Adult
KEEPINSADULT,How to Obtain/Keep Health Insurance as Child Becomes Adult
K12Q01_A,Reason Not Covered - Change in Employer/Employment
K12Q01_B,Reason Not Covered - Cancellation Overdue Premiums
K12Q01_C,Reason Not Covered - Unaffordable
K12Q01_D,Reason Not Covered - Inadequate Benefits
K12Q01_E,Reason Not Covered - Inadequate Providers
K12Q01_F,Reason Not Covered - Application/Renewal Problems
K12Q01_G,Reason Not Covered - Other
CURRCOV,Health Insurance Coverage - Currently Covered (Use CURRINS)
K12Q03,Health Insurance - Current/Former Employer or Union
K12Q04,Health Insurance - Insurance Company
K12Q12,Health Insurance - Government Assistance Plan
TRICARE,Health Insurance - TRICARE
K11Q03R,Health Insurance - Indian Health Service
HCCOVOTH,Health Insurance - Other
K3Q25,Problems Paying for Medical or Health Care
STOPWORK,Past 12 Months - Stopped Working because of Health Status
CUTHOURS,Past 12 Months -Cut Hours because of Health Conditions
AVOIDCHG,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
ONEWORD,Say One Word
TWOWORDS,Use Two Words Together
THREEWORDS,Use Three Words Together
ASKQUESTION,"Ask Questions: Who, What, When, Where"
ASKQUESTION2,"Ask Questions:  Why, How"
TELLSTORY,Tell a Story
UNDERSTAND,Understand 'No'
DIRECTIONS,Follow Verbal Directions
POINT,Point to Things
DIRECTIONS2,Follow Two Step Directions
UNDERSTAND2,"Understand 'In', 'On', 'Under'"
RHYMEWORD,Rhyme Words
REPEATED,Child Repeated Any Grades
K7Q30,Sports Team or Sports Lessons - Past 12 Months
K7Q31,Clubs or Organizations - Past 12 Months
K7Q32,Organized Activities or Lessons - Past 12 Months
K7Q37,Community Service or Volunteer Work - Past 12 Months
K7Q38,Paid Work or Regular Job - Past 12 Months
BORNUSA,Born in the United States
K8Q35,Someone to Turn To for Emotional Support
EMOSUPSPO,Emotional Support - Spouse or Domestic Partner
EMOSUPFAM,Emotional Support - Other Family or Friend
EMOSUPHCP,Emotional Support - Health Care Provider
EMOSUPWOR,Emotional Support - Place of Worship
EMOSUPADV,Emotional Support - Health Condition Support Group
EMOSUPPEER,Emotional Support - Peer Support Group
EMOSUPMHP,Emotional Support - Counselor
EMOSUPOTH,Emotional Support - Other
K6Q20,Receive Care From Others at Least 10 Hours Per Week
K6Q27,Job Change Because Problems with Child Care
K9Q40,Anyone in Household Use Cigarettes
K9Q41,Anyone Smoke Inside of Home
K11Q60,Cash Assistance from Government - Past 12 Months
K11Q61,Food Stamps - Past 12 Months
K11Q62,Free or Reduced Cost Meals - Past 12 Months
S9Q34,WIC Benefits - Past 12 Months
K10Q11,Neighborhood - Sidewalks or Walking Paths
K10Q12,Neighborhood - Park or Playground
K10Q13,Neighborhood - Recreation Center
K10Q14,Neighborhood - Library or Bookmobile
K10Q20,Neighborhood - Litter or Garbage
K10Q22,Neighborhood - Poorly Kept or Rundown Housing
K10Q23,Neighborhood - Vandalism
K9Q96,Other Adult Child Can Rely On For Advice
ACE3,Child Experienced - Parent or Guardian Divorced
ACE4,Child Experienced - Parent or Guardian Died
ACE5,Child Experienced - Parent or Guardian Time in Jail
ACE6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
ACE7,Child Experienced - Victim of Violence
ACE8,Child Experienced - Lived with Mentally Ill
ACE9,Child Experienced - Lived with Person with Alcohol/Drug Problem
ACE10,Child Experienced - Treated Unfairly Because of Race
ACE12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
ACE11,Child Experienced - Treated Unfairly Because of Health Condition
VIDEOPHONE,COVID - Virtual Health Care Visits
VIDEOPHONECOVID,COVID - Virtual Health Care Visits Due to COVID
COVIDCHECKUPS,COVID - Missed Preventative Check-Ups
COVIDARRANGE,COVID - Closed School or Daycare
A1_DEPLSTAT,Adult 1 - Deployment Status
A2_DEPLSTAT,Adult 2 - Deployment Status
ALLERGIES_DESC,Allergies Severity Description
ARTHRITIS_DESC,Arthritis Severity Description
K2Q40C,Asthma Severity Description
CERPALS_DESC,Cerebral Palsy Severity Description
K2Q41C,Diabetes Severity Description
K2Q42C,Epilepsy Severity Description
HEART_DESC,Heart Condition Severity Description
HEADACHE_DESC,Headaches Severity Description
K2Q38C,Tourette Syndrome Severity Description
K2Q33C,Anxiety Severity Description
K2Q32C,Depression Severity Description
BLOOD_DESC,Blood Disorder Severity Description
CYSTFIB_DESC,Cystic Fibrosis Severity Description
GENETIC_DESC,Genetic Condition Severity Description
K2Q34C,Behavior Problems Severity Description
K2Q36C,Developmental Delay Severity Description
K2Q60C,Intellectual Disability Severity Description
K2Q37C,Speech Disorder Severity Description
K2Q30C,Learning Disability Severity Description
K2Q35C,Autism ASD Severity Description
K2Q31C,ADD/ADHD Severity Description
A1_SEX,Adult 1 - Sex
A1_BORN,Adult 1 - Where Born
A1_EMPLOYED,Adult 1 - Current Employment Status
A1_GRADE,Adult 1 - Highest Completed Year of School
A1_MARITAL,Adult 1 - Marital Status
A1_RELATION,Adult 1 - How Related to Child
A2_SEX,Adult 2 - Sex
A2_BORN,Adult 2 - Where Born
A2_EMPLOYED,Adult 2 - Current Employment Status
A2_GRADE,Adult 2 - Highest Completed Year of School
A2_MARITAL,Adult 2 - Marital Status
A2_RELATION,Adult 2 - How Related to Child
A1_ACTIVE,Adult 1 - Active Duty
A2_ACTIVE,Adult 2 - Active Duty
A1_PHYSHEALTH,Adult 1 - Physical Health
A1_MENTHEALTH,Adult 1 - Mental or Emotional Health
A2_PHYSHEALTH,Adult 2 - Physical Health
A2_MENTHEALTH,Adult 2 - Mental or Emotional Health
K2Q01,General Health
K2Q01_D,Teeth Description
K5Q40,How Often - Spend Enough Time
K5Q41,How Often - Listen Carefully
K5Q42,How Often - Show Sensitivity
K5Q43,How Often - Provide Specific Information
K5Q44,How Often - Feel Like a Partner
DISCUSSOPT,How Often - Provider Discussed Range of Options
RAISECONC,How Often - Easy to Raise Concerns or Disagree
BESTFORCHILD,How Often - Work to Decide Together Treatment
K3Q20,Health Insurance - Benefits Cover Services
K3Q22,Health Insurance - Allow to See Provider
K3Q21B,How Often Costs Reasonable
K6Q70_R,Affectionate
K6Q73_R,Bounces Back
K6Q71_R,Show Interest and Curiosity
K6Q72_R,Smiles Laughs
K7Q84_R,Works to Finish Tasks Started
K7Q85_R,Stays Calm and In Control When Challenged
K7Q82_R,Cares About Doing Well in School
K7Q83_R,Does All Required Homework
K7Q70_R,Argues Too Much
BULLIED_R,"Bullied, Picked On, or Excluded by Others"
BULLY,"Bullies Others, Picks on Them, or Excludes Them"
RECOGBEGIN,Recognize Beginning Sound of a Word
CLEAREXP,How Often - Explain Things Good Idea
WRITENAME,How Often - Write First Name
RECSHAPES,How Often - Identify Basic Shapes
DISTRACTED,How Often - Easily Distracted
WORKTOFIN,How Often - Work Until Finished
SIMPLEINST,How Often - Follow Instructions for Simple Task
PLAYWELL,How Often - Play Well with Others
NEWACTIVITY,How Often - Become Angry or Anxious
HURTSAD,How Often - Show Concern
CALMDOWN,How Often - Can Calm Down
TEMPER,How Often - Lose Control
SITSTILL,How Often - Able to Sit Still
RECOGABC,Recognize Letters of Alphabet
TALKABOUT,Facing Problems - How Often Talk Together
WKTOSOLVE,Facing Problems - How Often Work Together
STRENGTHS,Facing Problems - How Often Draw on Strengths
HOPEFUL,Facing Problems - How Often Stay Hopeful
K10Q30,People In Neighborhood Help Each Other Out
K10Q31,Watch Out for Other's Children
K10Q40_R,Child is Safe In Neighborhood
GOFORHELP,Know Where to Go For Help
K10Q41_R,Child Is Safe at School
K8Q31,How Often Have You Felt - Child Hard to Care For
K8Q32,How Often Have You Felt - Child Really Bothers You
K8Q34,How Often Have You Felt - Angry with Child
HOWMUCH,How Much Medical Health Care - Past 12 Months
ATHOMEHC,Hours Spent Providing Home Health Care
ARRANGEHC,Hours Spent Arranging Health Medical Care
K7Q02R_R,Days Child Missed School - Illness or Injury
K7Q04R_R,Times School Contacted Household About Problems
PHYSACTIV,"Exercise, Play Sport, or Physical Activity for 60 Minutes"
HOURSLEEP05,Past Week - How Many Hours of Sleep Average
HOURSLEEP,Past Week - How Many Hours of Sleep Average
OUTDOORSWKDAY,Time Spent Playing Outdoors - Weekday
OUTDOORSWKEND,Time Spent Playing Outdoors - Weekend
SCREENTIME,"How Much Time Spent with TV, Cellphone, Computer"
K6Q60_R,How Many Days Read to Child
K6Q61_R,How Many Days Tell Stories or Sing to Child
K8Q11,How Many Days - Family Eat Meal Together
FOODSIT,Food Situation In Household - Past 12 Months
POSCHOICE,Doctor Worked with Child to Make Positive Choices
GAINSKILLS,Doctor Worked with Child to Gain Skills to Manage Health
CHANGEAGE,Doctor Worked with Child to Understand Health Care Changes
K2Q35D,Autism ASD - First Told Doctor Type
HCABILITY,Health Affected Ability - How Often
HCEXTENT,Health Affected Ability - Extent
K4Q20R,Preventive Visit - How Many Times
DOCROOM,Preventive Visit - How Long with Doctor
WGTCONC,Concerned About Weight
K4Q02_R,Place Usually Goes Sick - Where
DENTISTVISIT,Preventive Dental Visit - How Many Visits
K4Q22_R,Mental Health Professional Treatment
TREATNEED,Mental Health Professional Treatment - Problem
K4Q24_R,Specialist Visit
K4Q26,Specialist Visit - Problem
C4Q04,Frustrated In Efforts to Get Service
HOSPITALER,Hospital Emergency Room Visits
K4Q04_R,Personal Doctor or Nurse - One or More
K5Q11,Need a Referral - Problem
K5Q20_R,Arrange Or Coordinate Care Among Doctors
K5Q22,Arrange Or Coordinate As Much Help As Wanted
K5Q30,Communication Satisfaction Among Doctors
K5Q32,"Communication Satisfaction with School, Child Care, Special Education Program"
K5Q31_R,"Provider Communication with School, Child Care, Special Education Program"
K8Q21,Share Ideas or Talk About Things That Matter
K8Q30,How Well Handling Demands of Raising Children
COUNTTO,Can Count How High
K7Q33,How Often Attend Events or Activities
BEDTIME,How Often - Go to Bed at Same Time
K3Q04_R,Health Insurance Coverage - Past 12 Months (Use INSGAP)
K6Q08_R,Learning to Do Things For Him or Herself
CONFIDENT,Confident Ready for School
ACE1,Hard to Cover Basics Like Food or Housing
USEPENCIL,How Child Holds a Pencil
MAKEFRIEND,Difficulty Making or Keeping Friends
SLEEPPOS,Position Most Often Lay Your Baby Down to Sleep
COLOR,Can Name Colors
STARTSCHOOL,Has Child Started School
SUGARDRINK,How Many Surgary Drinks
VEGETABLES,How Many Vegetables
FRUIT,How Many Fruits
MENBEVCOV,Health Insurance - Cover Mental Behavioral Needs
PLANNEEDS_R,Plan Address Transition
YEAR,Survey Year
CBSAFP_YN,Core Based Statistical Area Status
METRO_YN,Metropolitan Statistical Area Status
MPC_YN,Metropolitan Principal City Status
TOTAGE_0_5,Count of Children Ages 0 to 5 in Household
TOTAGE_6_11,Count of Children Ages 6 to 11 in Household
TOTAGE_12_17,Count of Children Ages 12 to 17 in Household
TOTCSHCN,Count of Children with Special Health Care Needs in Household
TOTNONSHCN,Count of Children without Special Health Care Needs in Household
SC_RACE_R,"Race of Selected Child, Detailed"
SC_HISPANIC_R,"Hispanic Origin of Selected Child, Recode"
SC_CSHCN,Special Health Care Needs Status of Selected Child
SC_ENGLISH,SC  Speaks English
SC_K2Q10,SC Needs or Uses Medication Currently
SC_K2Q11,SC Medication Used or Needed for Health Condition
SC_K2Q12,SC Medication Currently for 12 Months
SC_K2Q13,SC Needs or Uses More Medical Care than Others
SC_K2Q14,SC Medical Care Used or Needed for Health Condition
SC_K2Q15,SC Medical Care Currently for 12 Months
SC_K2Q16,SC Limited Ability
SC_K2Q17,SC Limited Ability from Health Condition
SC_K2Q18,SC Limited Ability from Health Condition for 12 Months
SC_K2Q19,SC Special Therapy
SC_K2Q20,SC Special Therapy for Health Condition
SC_K2Q21,SC Special Therapy for Health Condition for 12 Months
SC_K2Q22,SC Needs Treatment for Emotion Develop Behave
SC_K2Q23,SC Treatment for Chronic Emotion Develop Behave
SC_AGE_LT4,Age of Selected Child - Less than 4 Months
SC_AGE_LT6,Age of Selected Child - Less than 6 Months
SC_AGE_LT9,Age of Selected Child - Less than 9 Months
SC_AGE_LT10,Age of Selected Child - Less than 10 Months
AGEPOS4,Birth Order of Selected Children in Household
EYECARE1,Eye Doctor Care - Examination
EYECARE2,Eye Doctor Care - Corrective Lenses
EYECARE3,Eye Doctor Care - Vision Disorder
EYECARE4,Eye Doctor Care - Some other care
TENURE_IF,Imputation Flag for TENURE
TOTMALE,Count of Male Children in Household
TOTFEMALE,Count of Female Children in Household
SC_RACE_R_IF,Imputation Flag for SC_RACE_R
SC_RACER,"Race of Selected Child, Recode"
SC_RACEASIA,"Race of Selected Child, Recode, Asian Included, Reported for CA, HI, MA, MD, MN, NJ, NV, NY, VA, WA."
SC_RACEAIAN,"Race of Selected Child, Recode, AIAN Included, Reported for AK, AZ, NM, MT, ND, OK, SD"
SC_HISPANIC_R_IF,Imputation Flag for SC_HISPANIC_R
SC_SEX_IF,Imputation Flag for SC_SEX
BIRTHWT_OZ_S,"Standardized Birth Weight, Ounces"
HOUSE_GEN,Parental Nativity
FAMILY_R,Family Structure
CURRINS,Health Insurance Coverage - Currently Covered
INSGAP,Health Insurance Coverage - Past 12 Months
INSTYPE,Insurance Type (Revised)
BIRTHWT_VL,Birth Weight is Very Low (<1500g)
BIRTHWT_L,Birth Weight is Low (<2500g)
BIRTHWT,Birth Weight Status
FPL_IF,Imputation Flag for FPL
A1_GRADE_IF,Imputation Flag for A1_GRADE
BIRTH_YR_F,BIRTH_YR Data Quality Flag
SC_ASIAN,Asian Alone or in Combination with Other Race
SC_AIAN,American Indian or Alaska Native Alone or in Combination with Other Race
SC_NHPI,Native Hawaiian or Other Pacific Islanders Alone or in Combination with Other Race
BMICLASS,"Body Mass Index, Percentile"
HHCOUNT_IF,Imputation Flag for HHCOUNT
HIGRADE,Highest Level of Education among Reported Adults
HIGRADE_TVIS,"Highest Level of Education among Reported Adults, Detail"
FPL_I1,"Family Poverty Ratio, First Implicate"
FPL_I2,"Family Poverty Ratio, Second Implicate"
FPL_I3,"Family Poverty Ratio, Third Implicate"
FPL_I4,"Family Poverty Ratio, Fourth Implicate"
FPL_I5,"Family Poverty Ratio, Fifth Implicate"
FPL_I6,"Family Poverty Ratio, Sixth Implicate"
BREASTFEDEND_MO_S,Stopped Breastfeeding - Months (Standardized)
FRSTFORMULA_MO_S,First Fed Formula - Months (Standardized)
FRSTSOLIDS_MO_S,First Fed Solids - Days (Standardized)
BREASTFEDEND_DAY_S,Stopped Breastfeeding - Days (Standardized)
BREASTFEDEND_WK_S,Stopped Breastfeeding - Weeks (Standardized)
FRSTFORMULA_DAY_S,First Fed Formula - Days (Standardized)
FRSTFORMULA_WK_S,First Fed Formula - Weeks (Standardized)
FRSTSOLIDS_DAY_S,First Fed Solids - Days (Standardized)
FRSTSOLIDS_WK_S,First Fed Solids - Days (Standardized)
FWC,Selected Child Weight
hrsareg,HRSA Region
age3_21,Age in 3 groups
age5_21,U.S. children in 5 age groups
sex_21,Sex of child
race4_21,Race and ethnicity distribution of the child population
raceASIA_21,Race and ethnicity distribution of the child population
race7_21,Race and ethnicity distribution of children in the US population
PrntNativity_21,Generational status of the parents
PrntNativity2_21,Generational status of the parents - collapsed 1st and 2nd generational status of HH among children living with parents
HHLanguage_21,Primary language spoken in the household
hisplang_21,Primary household language for Hispanic children
famstruct5_21,Family structure of child's household
famstruct3_21,Family structure - 3 categories
povlev4_21,Income based on federal poverty level status
povSCHIP_21,Income level of child's household based on SCHIP
MilitarySt_21,Military status of adult(s) in the household
AdultEduc_21,Highest level of education of any adult in the household
BornUSA_21,Children who were born in the United States
FamCount_21,Number of family members in the child's household
ChHlthSt_21,Indicator 1.1: Children's overall health status
TeethCond_21,"Indicator 1.2: Overall condition of children's teeth, age 1-17 years"
toothache_21,"Children who had toothache during the past 12 months, age 1-17 years"
gumbleed_21,"Children who had bleeding gums during the past 12 months, age 1-17 years"
cavities_21,"Children who had decayed teeth or cavities during the past 12 months, age 1-17 years"
ctOralProb_21,"Number of oral health problems, age 1-17 years"
OralProb_21,"Indicator 1.2a: Oral health problems: toothache, bleeding gums, and/or decayed teeth or cavities, age 1-17 years"
BrstEver_21,"Indicator 1.3: Children who were ever breastfed or fed breast milk, age 0-5 years"
ExBrstFd_21,"Indicator 1.3a: Exclusively breastfed or given breast milk for first 6 months, age 6 months-5 years"
SugarDrink_21,"Sugary drink consumption, age 1-5 years"
vegetables_21,"Vegetable consumption, age 1-5 years"
fruit_21,"Fruit consumption, age 1-5 years"
BMI4_21,"Indicator 1.4: Weight status of the child based on Body Mass Index (BMI)-for-age in four categories, 10-17 years"
BMI3_21,"Indicator 1.4a: Weight status of children based on Body Mass Index (BMI)-for-age in three categories, 10-17 years"
ToldOverweight_21,Indicator 1.4b: Children who ever told by a doctor or health professional that they have overweight
PhysAct_21,"Indicator 1.5 Children who are physically active at least 60 minutes per day, age 6-17 years"
OutdrsWkDay_21,"Time spent outdoors on most weekdays, age 3-5 years"
OutdrsWkend_21,"Time spent outdoors on an average weekend day, age 3-5 years"
WgtConcn_21,Indicator 1.6: Parental concern about their children's weight
LowBWght_21,"Indicator 1.7: Children who were born with a low birth weight, that is they weighed less than 2500 grams at birth"
VeryLBWght_21,"Indicator 1.7a: Children who were born with a low birth weight, that is they weighed less than 1500 grams at birth"
BornPre_21,"Indicator 1.8: Children who were born premature, that is more than 3 weeks before their due date"
allergies_21,"Children who currently have allergies including food, drug, insect, or other"
arthritis_21,Children currently have arthritis
asthma_21,Children currently have asthma
BloodScr_21,"Children who have blood disorders (such as sickle cell disease, thalassemia, or hemophilia) identified through a blood test"
blood_21,"Children who have ever told that they have blood disorders (such as sickle cell disease, thalassemia, or hemophilia)"
BrainInjTold_21,Children who were told by a doctor or other health care provider that the child has a concussion or brain injury
palsy_21,Children who currently have cerebral palsy
CystFibScr_21,Children who have cystic fibrosis identified through a blood test
CystFib_21,Children who have cystic fibrosis
diabetes_21,Children who currently have diabetes
DownSynd_21,Children who have Down Syndrome
seizure_21,Children who currently have epilepsy or seizure disorder
GeneticScr_21,Children who have a genetic or inherited condition identified through a blood test
genetic_21,Children who have ever told that they have a genetic or inherited condition
heart_21,Children who currently have a heart condition
heart_both_21,Children who have congenital or current heart condition
HeartBorn_21, Children who were born with a congenital heart condition
headache_21,"Children who currently have frequent or severe headache including migraine, age 3-17 years"
tourette_21,"Children who currently have Tourette Syndrome, age 3-17 years"
anxiety_21,"Children who currently have anxiety problems, age 3-17 years"
depress_21,"Children who currently have depression, age 3-17 years"
behavior_21,"Children who currently have behavioral or conduct problems, age 3-17 years"
DevDelay_21,"Children who currently have developmental delay, age 3-17 years"
IntDisab_21,"Children who currently have intellectual disability or mental retardation, age 3-17 years"
speech_21,"Children who currently have speech or other language disorder, age 3-17 years"
learning_21,"Children who currently have a learning disability, age 3-17 years"
autism_21,"Children who currently have autism or autism spectrum disorder including Asperger's Disorder, pervasive developmental disorder, age 3-17 years"
ADHD_21,"Children who currently have Attention Deficit Disorder (ADD) or Attention-Deficit Hyperactivity Disorder (ADHD), age 3-17 years"
hearing_21,Children who have deafness or problems with hearing
vision_21,"“Children who have blindness or problems with seeing, even when wearing glasses”"
CondCnt24_21,Number of current health conditions reported from a list of 24
Cond2more24_21,Indicator 1.9: Number of current or lifelong health conditions reported from a list of 24 health conditions
AllerSev_21,"Parent-rated severity of child's current allergies including food, drug, insect, or other"
ArthrSev_21,Parent-rated severity of child's current arthritis
AsthmSev_21,Parent-rated severity of child's current asthma
BloodSev_21,"Parent-rated severity of child's blood disorders (such as sickle cell disease, thalassemia, or hemophilia)"
PalsySev_21,Parent-rated severity of child's current cerebral palsy
CystSev_21,Parent-rated severity of current cystic fibrosis
DiabetSev_21,Parent-rated severity of child's current diabetes
SeizSev_21,Parent-rated severity of child's current epilepsy or seizure disorder
GenetSev_21,Parent-rated severity of child's current genetic or inherited condition
HeartSev_21,Parent-rated severity of child's current heart condition
HeadSev_21,"Parent-rated severity of current frequent or severe headaches including migraine, age 3-18 years"
TouretSev_21,"Parent-rated severity of child's current Tourette Syndrome, age 3-17 years"
AnxietSev_21,"Parent-rated severity of child's current anxiety, age 3-17 years"
DepresSev_21,"Parent-rated severity of child's current depression, age 3-17 years"
BehavSev_21,"Parent-rated severity of child's current behavioral or conduct problems, age 3-17 years"
DevDelSev_21,"Parent-rated severity of child's developmental delay, age 3-17 years"
IntDisSev_21,"Parent-rated severity of child's current intellectual disability, age 3-17 years"
SpeechSev_21,"Parent-rated severity of child's current speech or other language disorder, age 3-17 years"
LearnSev_21,"Parent-rated severity of child's current learning disability, age 3-17 years"
AutismSev_21,"Parent-rated severity of child's current Autism/ASD, age 3-17 years"
ADHDSev_21,"Parent-rated severity of child's current ADD/ADHD, age 3-17 years"
DiffBreath_21,Children who have experienced frequent or chronic difficulty with breathing or other respiratory problems (such as wheezing or shortness of breath) in the past 12 months
DiffSwall_21,Children who have had frequent or chronic difficulty with eating or swallowing in the past 12 months
DiffDigest_21,"Children who have had frequent or chronic difficulty with digesting food, including stomach/intestinal problems, constipation, or diarrhea in the past 12 months"
DiffPain_21,"Children who have had frequent or chronic difficulty with repeated or chronic physical pain, including headaches or other back or body pain in the past 12 months"
